"full_name","neo","diameter","albedo","epoch","e","a","i","om","w","ma","ad","n","tp","per","pha"
"       (2003 SK84)",Y,,,2460600.5,0.7426,2.537,8.95,344.08,118.30,64.70,4.42,0.2439,2460335.24,1.48e+03,Y
"       (2003 SS84)",Y,,,2460600.5,0.5718,1.931,5.49,198.16,234.92,285.68,3.04,0.3673,2460802.84,980,Y
"       (2003 TK2)",Y,,,2460600.5,0.6470,2.348,4.29,0.98,321.01,320.26,3.87,0.2739,2460745.57,1.31e+03,Y
"       (2003 TO9)",Y,,,2460600.5,0.6043,2.428,3.11,197.97,225.09,190.16,3.90,0.2605,2461252.45,1.38e+03,Y
"       (2003 TR9)",Y,,,2460600.5,0.7017,1.642,13.47,198.35,71.05,25.46,2.79,0.4685,2460546.16,768,Y
"       (2003 UX5)",Y,,,2460600.5,0.3409,1.441,21.45,50.50,50.37,12.27,1.93,0.5696,2460578.95,632,Y
"       (2003 VE1)",Y,,,2460600.5,0.4949,1.942,16.33,29.53,323.32,285.12,2.90,0.3641,2460806.17,989,Y
"       (2003 WG)",Y,,,2460600.5,0.7840,2.437,27.14,46.63,262.00,189.78,4.35,0.259,2461257.74,1.39e+03,Y
"       (2003 WP21)",Y,,,2460600.5,0.7809,2.27,4.31,37.13,124.65,32.46,4.04,0.2881,2460487.83,1.25e+03,Y
"       (2003 WC158)",Y,,,2460600.5,0.6279,2.639,9.02,251.04,144.53,320.38,4.30,0.2299,2460772.81,1.57e+03,Y
"       (2003 WH166)",Y,,,2460600.5,0.5575,1.936,0.70,185.68,329.40,242.10,3.01,0.366,2460922.64,984,Y
"       (2003 YP1)",Y,,,2460600.5,0.6424,2.654,7.49,276.66,131.48,306.59,4.36,0.2279,2460834.84,1.58e+03,Y
"       (2003 YD45)",Y,,,2460600.5,0.6930,2.494,8.43,252.16,105.04,120.74,4.22,0.2503,2460118.05,1.44e+03,Y
"       (2003 YL118)",Y,,,2460600.5,0.4864,1.131,7.61,278.68,65.73,165.63,1.68,0.8193,2460398.34,439,Y
