"full_name","neo","diameter","albedo","epoch","e","a","i","om","w","ma","ad","n","tp","per","pha"
"       (2010 FC81)",Y,0.402,0.021,2460600.5,0.6231,2.677,1.68,144.30,63.64,110.54,4.35,0.225,2460109.23,1.6e+03,Y
"       (2010 GS7)",Y,0.203,0.107,2460600.5,0.6591,2.694,9.12,190.83,57.05,89.07,4.47,0.2229,2460200.94,1.61e+03,Y
"       (2010 GU21)",Y,0.510,0.025,2460600.5,0.5633,2.183,3.18,57.17,201.20,167.50,3.41,0.3055,2460052.26,1.18e+03,Y
"       (2010 HY22)",Y,,,2460600.5,0.7242,3.655,44.15,19.19,343.29,73.66,6.30,0.1411,2460078.31,2.55e+03,Y
"       (2010 JG)",Y,0.192,0.209,2460600.5,0.3196,1.19,23.31,49.72,292.02,325.61,1.57,0.7591,2460645.80,474,Y
"       (2010 JK33)",Y,0.208,0.148,2460600.5,0.6101,2.232,4.04,28.54,289.86,94.39,3.59,0.2956,2460281.15,1.22e+03,Y
"       (2010 JV34)",Y,0.226,0.165,2460600.5,0.5441,1.723,7.21,225.32,87.03,111.43,2.66,0.4358,2460344.82,826,Y
"       (2010 JJ41)",Y,,,2460600.5,0.6686,1.069,3.21,50.65,28.89,94.16,1.78,0.8922,2460494.97,403,Y
"       (2010 JN71)",Y,0.214,0.106,2460600.5,0.5903,2.381,17.74,62.41,185.59,325.80,3.79,0.2682,2460728.01,1.34e+03,Y
"       (2010 JE88)",Y,,,2460600.5,0.7640,2.109,10.73,224.59,260.23,271.36,3.72,0.3218,2460875.98,1.12e+03,Y
"       (2010 KQ10)",Y,,,2460600.5,0.6620,2.384,6.70,243.85,287.77,352.73,3.96,0.2678,2460627.63,1.34e+03,Y
"       (2010 KR10)",Y,,,2460600.5,0.5863,2.168,1.05,94.46,233.01,165.18,3.44,0.3087,2460065.50,1.17e+03,Y
"       (2010 LK34)",Y,0.108,0.271,2460600.5,0.8073,1.829,5.32,130.07,249.31,264.88,3.31,0.3984,2460839.23,904,Y
"       (2010 LZ63)",Y,0.877,0.021,2460600.5,0.7610,1.89,13.87,307.00,79.56,163.69,3.33,0.3794,2460169.04,949,Y
"       (2010 MU112)",Y,0.599,0.028,2460600.5,0.5400,1.756,48.04,261.10,119.22,25.21,2.70,0.4235,2460540.98,850,Y
"       (2010 MD127)",Y,,,2460600.5,0.5998,1.768,19.70,19.91,112.79,66.20,2.83,0.4191,2460442.55,859,Y
"       (2010 NT81)",Y,,,2460600.5,0.2778,1.33,10.47,329.89,5.07,77.67,1.70,0.6427,2460479.65,560,Y
"       (2010 ON101)",Y,0.238,0.225,2460600.5,0.4095,1.629,9.31,251.57,8.14,317.67,2.30,0.4741,2460689.78,759,Y
"       (2010 RA147)",Y,,,2460600.5,0.6542,2.161,5.82,8.22,116.76,121.05,3.57,0.3103,2460210.43,1.16e+03,Y
"       (2010 RF181)",Y,,,2460600.5,0.5453,2.21,6.22,51.07,2.45,84.92,3.42,0.2999,2460317.34,1.2e+03,Y
"       (2010 TP54)",Y,,,2460600.5,0.5958,2.392,3.47,351.53,67.21,273.24,3.82,0.2665,2460926.09,1.35e+03,Y
"       (2010 TP55)",Y,,,2460600.5,0.6694,2.349,3.33,232.77,69.59,344.96,3.92,0.2738,2460655.45,1.31e+03,Y
"       (2010 TS149)",Y,,,2460600.5,0.3900,1.498,3.43,128.11,13.33,144.64,2.08,0.5378,2460331.56,669,Y
"       (2010 TU149)",Y,0.603,0.025,2460600.5,0.8247,2.213,1.96,58.89,92.65,84.04,4.04,0.2994,2460319.84,1.2e+03,Y
"       (2010 TX168)",Y,,,2460600.5,0.5235,1.483,26.02,32.92,101.55,224.79,2.26,0.5456,2460848.29,660,Y
"       (2010 UY6)",Y,0.712,0.030,2460600.5,0.6166,2.649,19.88,9.03,20.39,84.93,4.28,0.2286,2460228.96,1.57e+03,Y
"       (2010 UG7)",Y,,,2460600.5,0.7733,2.238,15.99,25.84,102.05,48.62,3.97,0.2944,2460435.35,1.22e+03,Y
"       (2010 UQ7)",Y,,,2460600.5,0.6783,2.454,4.51,236.83,76.59,243.70,4.12,0.2564,2461054.07,1.4e+03,Y
"       (2010 US7)",Y,,,2460600.5,0.6383,1.962,55.19,240.87,247.92,9.28,3.21,0.3586,2460574.61,1e+03,Y
"       (2010 UK8)",Y,,,2460600.5,0.6971,2.19,1.86,11.60,135.41,87.78,3.72,0.3041,2460311.87,1.18e+03,Y
"       (2010 VZ)",Y,0.380,0.194,2460600.5,0.5922,2.447,8.46,181.93,215.64,227.50,3.90,0.2575,2461114.97,1.4e+03,Y
"       (2010 VT11)",Y,0.152,0.189,2460600.5,0.6110,1.754,2.48,249.36,65.76,22.08,2.83,0.4242,2460548.46,849,Y
"       (2010 WV8)",Y,,,2460600.5,0.6720,2.126,8.44,55.12,288.13,188.43,3.55,0.318,2461140.09,1.13e+03,Y
"       (2010 WZ8)",Y,,,2460600.5,0.5035,1.973,3.70,284.22,200.48,346.56,2.97,0.3557,2460638.27,1.01e+03,Y
"       (2010 XB24)",Y,,,2460600.5,0.4392,1.286,5.53,263.28,285.91,117.93,1.85,0.6759,2460426.02,533,Y
"       (2010 XC25)",Y,,,2460600.5,0.5279,1.743,2.97,303.85,237.34,334.71,2.66,0.4282,2460659.56,841,Y
"       (2010 XA68)",Y,,,2460600.5,0.3013,1.157,59.28,74.32,107.46,329.14,1.51,0.7916,2460639.49,455,Y
"       (2010 XP69)",Y,0.273,0.065,2460600.5,0.3427,1.523,14.59,199.85,197.32,147.85,2.05,0.5244,2460318.55,687,Y
"       (2010 YB)",Y,,,2460600.5,0.4945,1.822,3.60,314.46,94.54,237.61,2.72,0.4006,2460905.99,899,Y
"       (2011 AM24)",Y,0.511,0.043,2460600.5,0.1489,1.177,9.14,127.13,215.29,36.53,1.35,0.7722,2460553.20,466,Y
"       (2011 AT26)",Y,,,2460600.5,0.6971,2.373,1.75,243.23,125.07,296.09,4.03,0.2696,2460837.58,1.34e+03,Y
"       (2011 BX10)",Y,,,2460600.5,0.6455,2.812,9.77,79.08,348.67,326.43,4.63,0.209,2460761.12,1.72e+03,Y
"       (2011 BY18)",Y,,,2460600.5,0.7834,2.263,3.65,135.19,240.14,22.22,4.04,0.2895,2460523.73,1.24e+03,Y
"       (2011 BE38)",Y,,,2460600.5,0.7110,2.63,8.16,321.35,302.65,52.36,4.50,0.2311,2460373.91,1.56e+03,Y
"       (2011 BM45)",Y,,,2460600.5,0.8033,1.921,5.32,302.18,63.29,81.25,3.46,0.3702,2460381.02,972,Y
"       (2011 BO59)",Y,,,2460600.5,0.4649,1.829,4.75,343.52,221.38,164.94,2.68,0.3984,2460186.49,904,Y
"       (2011 BT59)",Y,,,2460600.5,0.9450,2.493,3.67,36.24,305.92,192.77,4.85,0.2504,2461268.32,1.44e+03,Y
"       (2011 CG2)",Y,,,2460600.5,0.1584,1.177,2.76,293.17,283.95,195.94,1.36,0.7716,2460813.13,467,Y
"       (2011 CT4)",Y,,,2460600.5,0.7186,1.726,2.65,304.76,69.68,56.10,2.97,0.4348,2460471.48,828,Y
"       (2011 CC22)",Y,,,2460600.5,0.1153,1.123,34.82,130.31,171.25,26.36,1.25,0.8286,2460568.69,434,Y
"       (2011 CX46)",Y,,,2460600.5,0.5493,1.473,7.77,150.82,105.77,181.94,2.28,0.5511,2460923.60,653,Y
"       (2011 CY46)",Y,,,2460600.5,0.6117,2.149,11.56,11.09,221.16,100.22,3.46,0.3128,2460280.13,1.15e+03,Y
"       (2011 DS9)",Y,,,2460600.5,0.6427,2.622,3.70,93.35,146.25,59.49,4.31,0.2322,2460344.26,1.55e+03,Y
"       (2011 EL11)",Y,,,2460600.5,0.6903,1.996,3.91,313.72,82.24,341.06,3.37,0.3496,2460654.69,1.03e+03,Y
"       (2011 EF17)",Y,,,2460600.5,0.7432,2.343,4.22,3.83,282.41,246.30,4.08,0.2749,2461014.18,1.31e+03,Y
"       (2011 EO40)",Y,,,2460600.5,0.5403,1.654,3.36,50.25,17.17,180.68,2.55,0.4635,2460987.39,777,Y
"       (2011 EL51)",Y,,,2460600.5,0.5687,1.191,10.98,198.48,94.85,108.42,1.87,0.7582,2460457.51,475,Y
"       (2011 EO51)",Y,,,2460600.5,0.7861,1.565,6.75,175.09,227.43,9.59,2.80,0.5034,2460581.45,715,Y
"       (2011 GA)",Y,,,2460600.5,0.5909,1.8,9.83,200.35,109.69,168.70,2.86,0.4083,2460187.29,882,Y
"       (2011 GS60)",Y,,,2460600.5,0.9227,3.363,19.30,137.51,307.56,78.65,6.47,0.1598,2460108.49,2.25e+03,Y
"       (2011 HS)",Y,,,2460600.5,0.6918,2.818,7.86,182.35,334.46,321.87,4.77,0.2084,2460783.48,1.73e+03,Y
"       (2011 JA)",Y,,,2460600.5,0.2875,1.185,41.62,215.01,286.18,206.39,1.53,0.7641,2460801.54,471,Y
"       (2011 JD1)",Y,,,2455688.5,0.3576,1.112,21.95,34.31,85.63,60.02,1.51,0.8409,2455617.13,428,Y
"       (2011 JR13)",Y,,,2460600.5,0.7257,1.299,24.70,235.08,129.59,337.67,2.24,0.6656,2460634.04,541,Y
"       (2011 KE)",Y,,,2460600.5,0.9547,2.206,5.89,205.00,188.56,19.23,4.31,0.3008,2460536.55,1.2e+03,Y
"       (2011 KU15)",Y,,,2455711.5,0.8761,1.955,4.40,214.49,166.85,337.84,3.67,0.3607,2455772.93,998,Y
"       (2011 LA19)",Y,0.852,0.056,2460600.5,0.6515,2.912,19.21,97.95,202.75,231.60,4.81,0.1983,2461248.04,1.82e+03,Y
"       (2011 LC19)",Y,,,2460600.5,0.7321,3.197,10.50,219.42,139.20,99.42,5.54,0.1724,2460023.78,2.09e+03,Y
"       (2011 LJ19)",Y,,,2460600.5,0.6208,2.622,1.54,296.42,30.50,34.96,4.25,0.2321,2460449.90,1.55e+03,Y
"       (2011 MU)",Y,,,2460600.5,0.6651,1.35,7.30,99.98,281.92,138.37,2.25,0.6281,2460380.22,573,Y
"       (2011 OR15)",Y,,,2460600.5,0.4432,1.655,5.01,146.08,251.11,39.65,2.39,0.4627,2460514.82,778,Y
"       (2011 OV18)",Y,,,2460600.5,0.4391,1.63,16.94,271.30,148.99,68.11,2.35,0.4734,2460456.63,760,Y
"       (2011 PS)",Y,,,2460600.5,0.5151,1.806,3.73,19.08,26.86,125.39,2.74,0.4059,2460291.61,887,Y
"       (2011 SO32)",Y,,,2460600.5,0.4769,1.725,9.91,198.73,243.61,247.81,2.55,0.4352,2460858.29,827,Y
"       (2011 SM68)",Y,,,2460600.5,0.6642,1.396,19.24,24.02,109.21,284.27,2.32,0.5978,2460727.19,602,Y
"       (2011 TK)",Y,,,2460600.5,0.6462,2.464,7.78,328.34,122.18,118.57,4.06,0.2548,2460135.19,1.41e+03,Y
"       (2011 TC4)",Y,,,2460600.5,0.7196,1.491,3.13,200.68,309.40,4.30,2.56,0.5413,2460592.55,665,Y
"       (2011 UG20)",Y,,,2460600.5,0.6867,1.124,18.99,205.70,305.07,275.01,1.90,0.8268,2460703.28,435,Y
"       (2011 UH20)",Y,,,2460600.5,0.3361,1.231,35.77,21.61,257.17,245.06,1.64,0.7218,2460759.74,499,Y
"       (2011 UT20)",Y,,,2460600.5,0.4407,1.191,6.56,271.34,246.46,272.18,1.72,0.7587,2460716.25,475,Y
"       (2011 UE305)",Y,,,2460600.5,0.6707,2.421,4.72,303.66,53.00,168.59,4.04,0.2616,2459956.10,1.38e+03,Y
"       (2011 VU5)",Y,,,2460600.5,0.5567,2.198,30.47,44.01,25.01,346.18,3.42,0.3024,2460646.18,1.19e+03,Y
"       (2011 WN46)",Y,,,2455894.5,0.4145,1.146,26.57,43.11,104.11,312.07,1.62,0.8036,2455954.14,448,Y
"       (2011 WR46)",Y,,,2455896.5,0.8948,2.473,4.87,240.74,323.36,347.74,4.69,0.2535,2455944.87,1.42e+03,Y
"       (2011 XA3)",Y,,,2460600.5,0.9261,1.466,28.12,273.30,324.05,58.36,2.82,0.555,2460495.36,649,Y
"       (2011 YE6)",Y,,,2460600.5,0.7290,2.813,3.06,182.05,348.27,247.12,4.86,0.2089,2461140.97,1.72e+03,Y
"       (2011 YG6)",Y,,,2460600.5,0.2989,1.165,28.06,92.82,267.37,131.48,1.51,0.7843,2460432.86,459,Y
"       (2011 YH28)",Y,,,2460600.5,0.7167,2.611,8.74,284.09,288.90,345.68,4.48,0.2336,2460661.81,1.54e+03,Y
"       (2011 YJ28)",Y,,,2460600.5,0.0926,1.06,27.08,290.09,305.89,139.72,1.16,0.9036,2460445.88,398,Y
"       (2011 YV62)",Y,,,2460600.5,0.5997,1.636,7.79,243.82,85.37,91.85,2.62,0.4708,2460405.41,765,Y
"       (2012 AD3)",Y,,,2460600.5,0.6061,2.197,5.22,149.75,216.17,7.61,3.53,0.3027,2460575.37,1.19e+03,Y
"       (2012 AA11)",Y,,,2460600.5,0.4857,1.977,6.42,21.11,146.10,189.77,2.94,0.3547,2461080.45,1.02e+03,Y
"       (2012 BS23)",Y,,,2460600.5,0.5779,1.938,5.38,317.50,259.20,230.71,3.06,0.3654,2460954.32,985,Y
"       (2012 BT23)",Y,,,2460600.5,0.5996,1.976,9.09,182.23,43.38,179.53,3.16,0.3547,2460094.42,1.01e+03,Y
"       (2012 BU61)",Y,,,2460600.5,0.7771,2.526,5.23,296.22,74.04,79.11,4.49,0.2455,2460278.29,1.47e+03,Y
"       (2012 BJ86)",Y,,,2460600.5,0.6372,1.981,1.34,301.85,100.04,219.06,3.24,0.3534,2460999.28,1.02e+03,Y
"       (2012 BM86)",Y,,,2460600.5,0.6365,2.146,11.36,163.81,56.80,351.62,3.51,0.3136,2460627.21,1.15e+03,Y
"       (2012 BB124)",Y,,,2460600.5,0.2112,1.155,15.79,137.63,122.80,341.11,1.40,0.7943,2460624.29,453,Y
"       (2012 CA21)",Y,,,2460600.5,0.6562,2.663,28.66,127.89,35.87,327.37,4.41,0.2268,2460744.38,1.59e+03,Y
"       (2012 CA55)",Y,,,2460600.5,0.4797,1.801,8.64,175.89,41.54,58.47,2.67,0.4077,2460457.08,883,Y
"       (2012 DE31)",Y,,,2460600.5,0.3729,1.15,29.69,141.63,262.19,156.32,1.58,0.7988,2460404.81,451,Y
"       (2012 FQ1)",Y,,,2460600.5,0.6160,2.605,5.17,98.27,169.28,325.17,4.21,0.2344,2460749.07,1.54e+03,Y
"       (2012 FR1)",Y,,,2460600.5,0.7101,2.178,13.29,354.55,87.23,356.84,3.72,0.3066,2460610.82,1.17e+03,Y
"       (2012 FG58)",Y,,,2460600.5,0.5473,2.147,13.52,32.82,220.51,338.18,3.32,0.3134,2460670.14,1.15e+03,Y
"       (2012 FO62)",Y,,,2460600.5,0.5161,2.015,3.98,258.41,212.86,171.31,3.05,0.3447,2460103.46,1.04e+03,Y
"       (2012 GV17)",Y,,,2460600.5,0.4590,1.641,11.04,6.77,311.82,274.92,2.39,0.4686,2460782.04,768,Y
"       (2012 HJ1)",Y,,,2460600.5,0.6066,2.002,31.30,44.62,291.25,100.32,3.22,0.3479,2460312.12,1.03e+03,Y
"       (2012 HG8)",Y,,,2460600.5,0.7277,2.46,25.58,214.51,256.80,104.65,4.25,0.2554,2460190.77,1.41e+03,Y
"       (2012 HG31)",Y,,,2460600.5,0.5320,2.173,10.24,148.28,173.10,286.29,3.33,0.3077,2460840.07,1.17e+03,Y
"       (2012 HZ33)",Y,,,2460600.5,0.2103,1.197,23.88,54.90,231.59,131.25,1.45,0.7521,2460426.00,479,Y
"       (2012 JS11)",Y,,,2460600.5,0.6736,2.823,9.54,208.02,124.15,195.86,4.72,0.2078,2461390.36,1.73e+03,Y
"       (2012 KA4)",Y,,,2460600.5,0.7800,1.1,5.80,214.89,237.50,314.06,1.96,0.854,2460654.30,422,Y
"       (2012 KC6)",Y,,,2460600.5,0.2464,1.241,11.32,195.37,338.03,34.67,1.55,0.7131,2460551.87,505,Y
"       (2012 KU12)",Y,,,2460600.5,0.4886,1.638,8.63,53.06,74.37,23.70,2.44,0.47,2460550.07,766,Y
"       (2012 LR1)",Y,,,2460600.5,0.3813,1.337,42.32,83.09,66.58,61.37,1.85,0.6379,2460504.29,564,Y
"       (2012 LK11)",Y,,,2460600.5,0.5938,2.428,5.15,152.12,160.03,84.47,3.87,0.2606,2460276.35,1.38e+03,Y
"       (2012 MS4)",Y,,,2460600.5,0.7209,2.264,67.68,265.86,257.54,243.05,3.90,0.2894,2461004.68,1.24e+03,Y
"       (2012 MJ6)",Y,,,2460600.5,0.4899,1.822,9.23,82.18,127.43,24.24,2.72,0.4006,2460540.00,899,Y
"       (2012 MZ6)",Y,,,2456106.5,0.7120,2.141,1.36,317.20,225.05,19.56,3.67,0.3146,2456044.32,1.14e+03,Y
"       (2012 NN)",Y,,,2460600.5,0.6275,2.575,4.63,237.52,6.31,356.20,4.19,0.2385,2460616.43,1.51e+03,Y
"       (2012 OQ)",Y,,,2460600.5,0.3950,1.191,7.10,294.00,100.76,101.00,1.66,0.7586,2460467.36,475,Y
"       (2012 OP4)",Y,,,2460600.5,0.6584,2.118,20.65,143.56,262.86,325.38,3.51,0.3198,2460708.76,1.13e+03,Y
"       (2012 PS4)",Y,,,2460600.5,0.5934,1.767,3.94,86.18,144.24,92.56,2.82,0.4195,2460379.88,858,Y
"       (2012 QC8)",Y,,,2460600.5,0.7586,2.821,5.68,22.17,47.73,195.71,4.96,0.208,2461390.46,1.73e+03,Y
"       (2012 QG42)",Y,,,2460600.5,0.3745,1.026,6.81,344.77,116.18,162.56,1.41,0.9487,2460429.15,379,Y
"       (2012 QE50)",Y,,,2460600.5,0.4410,1.733,11.90,193.91,224.89,82.70,2.50,0.4321,2460409.09,833,Y
"       (2012 RG15)",Y,,,2460600.5,0.4536,1.077,48.94,336.61,247.24,1.64,1.57,0.8818,2460598.64,408,Y
"       (2012 TY52)",Y,,,2460600.5,0.5531,1.664,9.63,221.58,252.88,176.82,2.58,0.4593,2460215.54,784,Y
"       (2012 TF53)",Y,,,2460600.5,0.3689,1.426,6.13,201.04,282.41,316.78,1.95,0.5787,2460675.18,622,Y
"       (2012 TO139)",Y,,,2460600.5,0.8884,2.441,5.36,179.14,56.40,76.03,4.61,0.2585,2460306.36,1.39e+03,Y
"       (2012 TP139)",Y,,,2460600.5,0.4649,1.467,2.34,271.76,3.37,327.63,2.15,0.5545,2460658.87,649,Y
"       (2012 TJ146)",Y,,,2460600.5,0.6446,2.681,5.17,41.44,54.90,235.93,4.41,0.2245,2461153.05,1.6e+03,Y
"       (2012 UZ33)",Y,,,2460600.5,0.5804,2.228,3.36,85.88,224.77,249.31,3.52,0.2964,2460974.00,1.21e+03,Y
"       (2012 UU136)",Y,,,2460600.5,0.2120,1.16,35.59,36.08,227.73,313.23,1.41,0.7887,2460659.80,456,Y
"       (2012 UR138)",Y,,,2460600.5,0.5430,1.968,7.78,255.87,49.08,152.87,3.04,0.3569,2460172.21,1.01e+03,Y
"       (2012 UR158)",Y,0.629,0.023,2460600.5,0.8576,2.232,3.19,286.45,239.43,192.01,4.15,0.2956,2461168.86,1.22e+03,Y
"       (2012 VK6)",Y,,,2456242.5,0.7054,2.303,1.84,291.02,339.31,20.21,3.93,0.282,2456170.82,1.28e+03,Y
"       (2012 VL6)",Y,,,2460600.5,0.5659,2.343,8.73,19.48,19.28,115.54,3.67,0.2749,2460180.15,1.31e+03,Y
"       (2012 VO6)",Y,,,2460600.5,0.5355,1.966,3.57,242.47,243.78,85.72,3.02,0.3575,2460360.74,1.01e+03,Y
"       (2012 VF37)",Y,,,2460600.5,0.6514,2.463,4.90,82.40,58.77,13.62,4.07,0.2549,2460547.08,1.41e+03,Y
"       (2012 VC82)",Y,,,2460600.5,0.5813,2.38,10.81,355.34,29.27,89.63,3.76,0.2685,2460266.70,1.34e+03,Y
"       (2012 XO111)",Y,,,2460600.5,0.4980,2.005,4.27,328.03,189.89,31.38,3.00,0.3472,2460510.11,1.04e+03,Y
"       (2012 XA133)",Y,,,2460600.5,0.6977,1.328,4.06,225.56,77.99,320.72,2.25,0.644,2460661.48,559,Y
"       (2012 XJ134)",Y,,,2460600.5,0.7376,2.567,2.47,237.02,124.49,328.55,4.46,0.2396,2460731.76,1.5e+03,Y
"       (2012 YO1)",Y,,,2460600.5,0.4900,1.825,17.47,85.81,312.74,301.09,2.72,0.3999,2460747.81,900,Y
"       (2012 YO3)",Y,,,2460600.5,0.6726,2.439,3.60,30.95,351.45,49.00,4.08,0.2588,2460411.13,1.39e+03,Y
"       (2012 YY6)",Y,,,2460600.5,0.6812,1.525,4.03,22.62,317.79,125.24,2.56,0.5234,2460361.20,688,Y
"       (2013 AS27)",Y,,,2460600.5,0.2285,1.105,33.59,105.21,253.43,132.56,1.36,0.8488,2460444.33,424,Y
"       (2013 AN60)",Y,,,2460600.5,0.5822,1.894,6.95,248.51,125.73,212.27,3.00,0.3782,2460991.09,952,Y
"       (2013 BC18)",Y,,,2460600.5,0.7696,2.754,24.79,286.11,262.35,192.05,4.87,0.2156,2461379.42,1.67e+03,Y
"       (2013 BD18)",Y,,,2460600.5,0.6638,2.319,17.27,285.05,251.73,101.06,3.86,0.2791,2460238.43,1.29e+03,Y
"       (2013 BO76)",Y,,,2460600.5,0.5201,1.701,1.95,242.18,4.96,36.85,2.59,0.4443,2460517.55,810,Y
"       (2013 ED28)",Y,,,2460600.5,0.6667,1.55,4.89,152.93,258.55,33.70,2.58,0.5108,2460534.53,705,Y
"       (2013 ER89)",Y,,,2460600.5,0.5357,1.695,26.98,0.95,283.62,49.53,2.60,0.4466,2460489.60,806,Y
"       (2013 EV108)",Y,,,2460600.5,0.6342,2.398,8.42,33.34,215.22,27.43,3.92,0.2655,2460497.18,1.36e+03,Y
"       (2013 EO126)",Y,,,2460600.5,0.7822,2.297,2.98,153.40,148.55,96.36,4.09,0.2832,2460260.20,1.27e+03,Y
"       (2013 FX7)",Y,,,2460600.5,0.3099,1.266,5.22,211.53,28.91,13.12,1.66,0.6923,2460581.55,520,Y
"       (2013 FA8)",Y,,,2460600.5,0.6738,1.929,3.12,165.46,281.00,137.64,3.23,0.3679,2460226.39,979,Y
"       (2013 FW13)",Y,,,2460600.5,0.3619,1.121,23.42,175.80,272.17,331.39,1.53,0.83,2460634.96,434,Y
"       (2013 GY7)",Y,,,2460600.5,0.2306,1.247,29.57,189.90,128.60,353.08,1.53,0.708,2460610.27,508,Y
"       (2013 GR38)",Y,,,2460600.5,0.5567,1.79,4.59,218.64,68.39,263.01,2.79,0.4116,2460836.13,875,Y
"       (2013 GS66)",Y,,,2460600.5,0.5843,2.011,2.44,204.25,273.41,33.92,3.19,0.3456,2460502.35,1.04e+03,Y
"       (2013 GG69)",Y,,,2460600.5,0.6694,2.684,9.26,183.17,144.73,180.05,4.48,0.2241,2461403.33,1.61e+03,Y
"       (2013 GZ73)",Y,,,2460600.5,0.6172,2.372,7.34,116.76,340.19,94.57,3.84,0.2698,2460249.93,1.33e+03,Y
"       (2013 GA80)",Y,,,2460600.5,0.1534,1.174,32.19,29.10,133.15,50.17,1.35,0.775,2460535.77,465,Y
"       (2013 GH84)",Y,,,2460600.5,0.3716,1.564,14.90,53.35,186.50,306.50,2.15,0.5037,2460706.72,715,Y
"       (2013 JM7)",Y,,,2460600.5,0.2740,1.211,4.96,242.47,154.85,46.03,1.54,0.7394,2460538.24,487,Y
"       (2013 JN7)",Y,,,2460600.5,0.6400,1.719,2.25,297.49,167.53,70.49,2.82,0.4371,2460439.25,824,Y
"       (2013 JM14)",Y,,,2460600.5,0.5097,1.894,8.09,109.36,44.63,164.12,2.86,0.378,2460166.35,952,Y
"       (2013 JL22)",Y,,,2460600.5,0.5943,1.187,3.06,37.95,69.09,349.55,1.89,0.7622,2460614.22,472,Y
"       (2013 JR28)",Y,,,2460600.5,0.6548,2.201,6.55,103.54,230.57,154.34,3.64,0.3019,2460089.26,1.19e+03,Y
"       (2013 KZ1)",Y,,,2460600.5,0.5065,1.563,29.20,236.01,104.73,260.98,2.35,0.5045,2460796.76,714,Y
"       (2013 LE16)",Y,,,2460600.5,0.6077,2.564,32.83,81.77,198.13,265.77,4.12,0.2401,2460993.00,1.5e+03,Y
"       (2013 LG16)",Y,,,2460600.5,0.4082,1.6,11.15,232.78,209.56,26.65,2.25,0.4869,2460545.78,739,Y
"       (2013 LM31)",Y,,,2460600.5,0.6550,2.265,1.75,103.16,251.17,93.33,3.75,0.2891,2460277.64,1.25e+03,Y
"       (2013 LN31)",Y,,,2460600.5,0.8022,2.258,23.21,100.76,278.85,106.82,4.07,0.2905,2460232.81,1.24e+03,Y
"       (2013 MW6)",Y,,,2460600.5,0.4837,1.733,5.51,0.75,191.24,17.56,2.57,0.4319,2460559.84,833,Y
"       (2013 NJ10)",Y,,,2460600.5,0.4573,1.613,7.04,90.71,25.16,343.40,2.35,0.4811,2460635.00,748,Y
"       (2013 NF19)",Y,,,2460600.5,0.6953,1.67,27.33,283.23,263.10,104.95,2.83,0.4566,2460370.66,788,Y
"       (2013 ND24)",Y,,,2460600.5,0.7428,2.048,3.64,295.10,97.24,283.50,3.57,0.3363,2460828.01,1.07e+03,Y
"       (2013 OD4)",Y,,,2460600.5,0.7763,1.885,12.20,127.35,299.38,96.77,3.35,0.3809,2460346.44,945,Y
"       (2013 PV13)",Y,,,2460600.5,0.6449,2.749,11.88,151.13,221.54,153.45,4.52,0.2163,2459891.06,1.66e+03,Y
"       (2013 QR1)",Y,,,2460600.5,0.7369,1.95,45.64,151.51,279.37,16.04,3.39,0.362,2460556.18,994,Y
"       (2013 QU1)",Y,,,2460600.5,0.2495,1.184,35.24,149.13,55.25,330.09,1.48,0.765,2460639.60,471,Y
"       (2013 QC11)",Y,,,2460600.5,0.6191,1.511,2.15,250.45,332.77,34.74,2.45,0.5308,2460535.06,678,Y
"       (2013 RZ73)",Y,,,2460600.5,0.5341,1.368,25.13,355.54,262.33,13.45,2.10,0.6157,2460578.65,585,Y
"       (2013 RH74)",Y,,,2460600.5,0.5942,2.284,5.48,200.43,227.76,56.45,3.64,0.2856,2460402.84,1.26e+03,Y
"       (2013 RJ74)",Y,,,2460600.5,0.7207,2.819,22.50,348.13,124.48,99.22,4.85,0.2083,2460124.05,1.73e+03,Y
"       (2013 SW24)",Y,,,2460600.5,0.6514,2.672,6.14,347.16,323.85,199.79,4.41,0.2256,2461310.61,1.6e+03,Y
"       (2013 TR132)",Y,,,2460600.5,0.3614,1.45,31.96,35.38,330.10,124.53,1.97,0.5644,2460379.84,638,Y
"       (2013 TE135)",Y,,,2460600.5,0.7580,2.364,6.05,182.24,103.12,27.99,4.16,0.2711,2460497.27,1.33e+03,Y
"       (2013 TT135)",Y,,,2460600.5,0.6015,2.144,6.49,341.40,327.28,199.31,3.43,0.3139,2461112.44,1.15e+03,Y
"       (2013 TV135)",Y,,,2460600.5,0.5941,2.426,6.74,333.33,23.87,334.39,3.87,0.2608,2460698.70,1.38e+03,Y
"       (2013 US3)",Y,,,2460600.5,0.1851,1.202,12.32,39.54,134.19,357.31,1.42,0.748,2460604.10,481,Y
"       (2013 VO5)",Y,,,2460600.5,0.6908,1.279,2.02,74.00,211.07,237.24,2.16,0.6811,2460780.74,529,Y
"       (2013 VY13)",Y,,,2460600.5,0.5143,1.732,5.52,261.18,87.19,308.27,2.62,0.4326,2460720.09,832,Y
"       (2013 WR43)",Y,,,2460600.5,0.3671,1.413,5.90,280.16,42.20,230.73,1.93,0.5867,2460820.82,614,Y
"       (2013 WT44)",Y,0.653,0.079,2460600.5,0.5654,2.264,12.20,182.67,325.86,47.63,3.54,0.2894,2460435.89,1.24e+03,Y
"       (2013 WT45)",Y,0.185,0.391,2460600.5,0.4669,1.63,9.34,33.02,122.09,44.56,2.39,0.4737,2460506.44,760,Y
